"","Treatment","Location","Col","Row","plot","Block","RIL","DAYS_TILL_BUDDING","GDD_TILL_BUDDING"
"158","LD","SA",42,16,450,2,"RIL169",77,960.291455535771
"159","LD","SA",21,9,103,1,"RIL17",77,960.291455535771
"160","LD","SA",45,16,471,2,"RIL17",77,960.291455535771
"161","LD","SA",10,1,42,1,"RIL170",77,960.291455535771
"162","LD","SA",33,19,415,2,"RIL170",77,960.291455535771
"163","LD","SA",18,2,84,1,"RIL171",98,1189.59619232065
"164","LD","SA",17,14,325,2,"RIL171",91,1111.52950614213
"165","LD","SA",10,3,46,1,"RIL172",77,960.291455535771
"166","LD","SA",34,19,416,2,"RIL172",77,960.291455535771
"167","LD","SA",18,1,82,1,"RIL173",77,960.291455535771
"168","LD","SA",33,13,403,2,"RIL173",77,960.291455535771
"169","LD","SA",13,6,69,1,"RIL174",84,1038.0575228229
"170","LD","SA",38,14,436,2,"RIL174",77,960.291455535771
"171","LD","SA",42,10,220,1,"RIL175",77,960.291455535771
"172","LD","SA",9,13,283,2,"RIL175",77,960.291455535771
"173","LD","SA",29,3,155,1,"RIL176",77,960.291455535771
"174","LD","SA",26,18,374,2,"RIL176",84,1038.0575228229
"175","LD","SA",45,9,223,1,"RIL177",77,960.291455535771
"176","LD","SA",25,17,371,2,"RIL177",77,960.291455535771
"177","LD","SA",25,2,123,1,"RIL178",77,960.291455535771
"178","LD","SA",46,15,474,2,"RIL178",77,960.291455535771
"179","LD","SA",21,8,105,1,"RIL179",77,960.291455535771
"180","LD","SA",17,15,327,2,"RIL179",77,960.291455535771
"181","LD","SA",2,4,8,1,"RIL18",77,960.291455535771
"182","LD","SA",30,17,390,2,"RIL18",77,960.291455535771
"183","LD","SA",22,4,114,1,"RIL180",77,960.291455535771
"184","LD","SA",17,19,335,2,"RIL180",77,960.291455535771
"185","LD","SA",21,4,113,1,"RIL181",77,960.291455535771
"186","LD","SA",37,12,439,2,"RIL181",70,884.477299169934
"187","LD","SA",22,1,120,1,"RIL182",84,1038.0575228229
"188","LD","SA",9,21,299,2,"RIL182",84,1038.0575228229
"189","LD","SA",42,3,206,1,"RIL183",77,960.291455535771
"190","LD","SA",10,19,296,2,"RIL183",84,1038.0575228229
"191","LD","SA",38,3,196,1,"RIL184",84,1038.0575228229
"192","LD","SA",13,12,319,2,"RIL184",91,1111.52950614213
"193","LD","SA",10,8,56,1,"RIL185",77,960.291455535771
"194","LD","SA",9,19,295,2,"RIL185",84,1038.0575228229
"195","LD","SA",13,1,79,1,"RIL186",77,960.291455535771
"196","LD","SA",41,20,457,2,"RIL186",77,960.291455535771
"197","LD","SA",17,3,85,1,"RIL187",91,1111.52950614213
"198","LD","SA",13,19,305,2,"RIL187",91,1111.52950614213
"199","LD","SA",5,4,33,1,"RIL188",77,960.291455535771
"200","LD","SA",10,21,300,2,"RIL188",77,960.291455535771
"201","LD","SA",34,3,166,1,"RIL189",77,960.291455535771
"202","LD","SA",30,19,386,2,"RIL189",77,960.291455535771
"203","LD","SA",45,6,229,1,"RIL19",77,960.291455535771
"204","LD","SA",41,13,443,2,"RIL19",77,960.291455535771
"205","LD","SA",14,6,70,1,"RIL190",70,884.477299169934
"206","LD","SA",25,13,363,2,"RIL190",70,884.477299169934
"207","LD","SA",22,9,104,1,"RIL191",77,960.291455535771
"208","LD","SA",46,13,478,2,"RIL191",77,960.291455535771
"209","LD","SA",22,3,116,1,"RIL192",77,960.291455535771
"210","LD","SA",34,14,406,2,"RIL192",91,1111.52950614213
"211","LD","SA",33,4,167,1,"RIL193",77,960.291455535771
"212","LD","SA",18,15,328,2,"RIL193",84,1038.0575228229
"213","LD","SA",29,6,149,1,"RIL194",77,960.291455535771
"214","LD","SA",25,18,373,2,"RIL194",70,884.477299169934
"215","LD","SA",10,5,50,1,"RIL195",77,960.291455535771
"216","LD","SA",21,15,353,2,"RIL195",77,960.291455535771
"217","LD","SA",33,5,169,1,"RIL196",77,960.291455535771
"218","LD","SA",9,16,289,2,"RIL196",84,1038.0575228229
"219","LD","SA",26,6,132,1,"RIL197",77,960.291455535771
"220","LD","SA",46,14,476,2,"RIL197",77,960.291455535771
"221","LD","SA",29,5,151,1,"RIL198",77,960.291455535771
"222","LD","SA",30,14,396,2,"RIL198",77,960.291455535771
"223","LD","SA",14,3,76,1,"RIL199",84,1038.0575228229
"224","LD","SA",38,21,422,2,"RIL199",77,960.291455535771
"225","LD","SA",13,7,67,1,"RIL2",77,960.291455535771
"226","LD","SA",41,18,453,2,"RIL2",77,960.291455535771
"227","LD","SA",34,7,174,1,"RIL20",84,1038.0575228229
"228","LD","SA",29,16,391,2,"RIL20",77,960.291455535771
"229","LD","SA",1,1,1,1,"RIL200",77,960.291455535771
"230","LD","SA",42,12,442,2,"RIL200",77,960.291455535771
"231","LD","SA",6,5,32,1,"RIL201",84,1038.0575228229
"232","LD","SA",6,18,268,2,"RIL201",84,1038.0575228229
"233","LD","SA",26,9,138,1,"RIL202",84,1038.0575228229
"234","LD","SA",21,18,347,2,"RIL202",91,1111.52950614213
"235","LD","SA",33,10,179,1,"RIL203",91,1111.52950614213
"236","LD","SA",45,21,461,2,"RIL203",91,1111.52950614213
"237","LD","SA",9,5,49,1,"RIL204",77,960.291455535771
"238","LD","SA",41,12,441,2,"RIL204",63,812.792239096947
